ID,Sexo,Total D1,Total D2,Total D3,Total global
3,Mujer,2.36,2.36,2.36,2.09
28,Hombres,1.27,2.10,1.89,1.27
7,Mujer,1.36,2.00,2.00,1.45
40,Hombres,1.00,2.40,2.17,1.18
27,Mujer,1.00,3.20,1.78,1.27
14,Mujer,1.27,2.90,2.00,1.27
44,Hombres,1.27,2.40,2.33,1.27
23,Hombres,1.18,2.50,2.39,1.18
33,Prefiero no decir,1.18,1.90,2.83,1.09
20,Hombres,1.09,2.20,2.78,1.18
22,Hombres,1.64,2.40,2.33,1.45
31,Mujer,1.45,2.00,2.67,1.55
32,Mujer,1.55,1.80,2.72,1.55
5,Hombres,1.18,1.90,3.06,1.27
24,Hombres,1.36,2.40,2.72,1.27
42,Hombres,1.45,2.80,2.44,1.27
8,Hombres,1.55,2.90,2.39,1.36
43,Hombres,1.55,1.50,3.17,1.36
11,Mujer,2.00,2.10,2.78,2.00
13,Mujer,1.36,2.30,3.11,1.36
35,Hombres,1.00,2.90,3.00,1.45
38,Mujer,1.73,2.40,2.83,1.82
26,Mujer,1.36,3.40,2.67,1.73
6,Mujer,1.09,3.60,2.78,1.45
19,Mujer,1.73,2.50,3.00,1.73
29,Mujer,1.55,2.50,3.11,1.64
37,Mujer,1.18,3.70,2.67,1.45
4,Mujer,2.45,2.80,2.50,2.64
1,Hombres,1.82,3.10,2.78,2.00
25,Hombres,1.45,3.00,3.06,1.73
39,Mujer,2.09,2.90,2.72,2.18
17,Mujer,1.55,3.00,3.06,1.45
18,Mujer,2.09,3.10,2.67,2.27
34,Hombres,1.55,3.40,2.94,1.82
16,Hombres,2.00,2.80,3.06,1.82
2,Hombres,2.09,2.90,3.00,2.00
9,Mujer,3.00,2.80,2.56,2.73
36,Hombres,2.73,2.70,2.78,2.82
12,Hombres,2.55,2.60,3.22,2.45
10,Mujer,1.82,3.50,3.33,2.09
21,Hombres,2.36,2.80,3.44,2.45
41,Hombres,2.36,2.90,3.50,2.55
30,Mujer,2.82,3.50,3.06,2.82
15,Mujer,3.91,4.40,2.44,4.55
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
